trip_id,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location
cc9937f852ee6233f1a8f68e55666f3a3fd17328,66d3807bc1b0bcf7c3b90c19f7c13356cdd60995199804afe2355e2736bf4a56d616f7f783596da3bdcb6b755c43d8b26818486f213604c04b6ebbcd9b99abc8,2023-01-11T23:45:00.000,2023-01-11T23:45:00.000,557,2.75,,,8.0,33.0,10.25,3.0,0.0,0.0,13.75,Credit Card,Flash Cab,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.857183858,-87.620334624,POINT (-87.6203346241 41.8571838585)
7b6d838b61a8d1b11397f93af0db550d30e70d83,9e402f28d4da35014d6f3171cf85336476cebfccf7904890ade2c60e59cbea30c5c169ee75b6d7e764d25d327b9c047a014c01673b61a9069d6bb6f7e023fe9c,2023-01-11T23:45:00.000,2023-01-12T00:00:00.000,780,5.1,,,76.0,,15.5,4.2,0.0,5.0,24.7,Credit Card,Chicago Independents,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
bae0038d43dfd94cac7c22362c8ab9b850248c20,bbc1d09e7fcf6de76a6c1a47d93c8f27cd19fae51bd2eb4f1ea5b517f93577e2c0df68a3d68dda90e686c134481bb43c948f389d5557c95f7287fe4f96b75671,2023-01-11T23:45:00.000,2023-01-12T00:00:00.000,1260,17.3,,,76.0,8.0,42.25,0.0,0.0,5.0,47.25,Cash,"Taxicab Insurance Agency, LLC",41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
307196ec6cf59170e05b13f310938e9ef8c0aff4,a5af44e477d4a113284fc380e77366cecd26cf2d5dcf668a27be74b6eb2b50ad4c73271ffb06bbd4e7d22b1369bcaf63e6b416ee94ea20d07a8328674eb9be91,2023-01-11T23:45:00.000,2023-01-12T00:00:00.000,668,5.29,,,8.0,28.0,16.0,0.0,0.0,0.0,16.0,Prcard,5 Star Taxi,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383)
f27da31b57dc79afc64ce112fe1f3d0458d7eebb,ebdfb00f38c617622248af90f5f2d6b5b43cd03e9254111fd71b942b6cd87a84fdf38c6e1203d3c8bee77c73fabfb2fc84f3663b1a86f4cc90acbeeabd615f27,2023-01-11T23:45:00.000,2023-01-12T00:00:00.000,720,3.9,,,56.0,70.0,12.5,0.0,0.0,4.0,16.5,Cash,Choice Taxi Association,41.79259236,-87.769615453,POINT (-87.7696154528 41.7925923603),41.745757713,-87.708365704,POINT (-87.7083657043 41.7457577128)
010dd8c0da76c1e71581013476ff8e14f60a1548,c6a059410092fa960357f82b5334dd990bd703f4af5b0b151233f92a9accef3bf8a5d6a19796d524408480c039c97f3b743e5f675a72c65a140a1a77d8c532af,2023-01-11T23:45:00.000,2023-01-12T00:00:00.000,840,0.4,,,28.0,41.0,19.0,0.0,0.0,0.0,19.0,Unknown,Taxi Affiliation Services,41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383),41.794090253,-87.592310855,POINT (-87.592310855 41.794090253)
2ee23e6952d2f04235b5b6da94f1bce0cf8fce65,de8e8659ceb9eb0da842a46b60c0a5207098ac69fc23ab1d6308a50a42e719c1b9d233d3b57a3591ee5789f9cc7e22e81496194980774e8035033e0788ec2633,2023-01-11T23:45:00.000,2023-01-12T00:00:00.000,809,11.06,,,28.0,12.0,28.5,0.0,0.0,0.0,28.5,Cash,Sun Taxi,41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383),41.993930128,-87.758353588,POINT (-87.7583535876 41.9939301285)
c4e19caa8c701747f27526e734119dcf20fc6617,da6780f1544c235ad2b71e14522482347d180a08ba4622b6c6e5e003d3edecd3c00aa0da34874e73d207677cfa93c6181e987addccb0f0b681efca2562cd17af,2023-01-11T23:45:00.000,2023-01-12T00:00:00.000,480,0.1,,,32.0,8.0,8.0,3.0,0.0,0.0,11.0,Credit Card,Taxi Affiliation Services,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
70106f2c51db426960d603c6d37127459243130b,00f4b381570486f8575cbaa57ed41f116ed2e1f9d85f73bb2f6dba13a72541761d2ad4cb1727990d97795a2b0bdd99f0e4a8826245c81dac443cebb1c19b26fb,2023-01-11T23:45:00.000,2023-01-12T00:00:00.000,1560,0.7,,,56.0,,30.25,5.0,0.0,20.5,55.75,Credit Card,Taxi Affiliation Services,41.79259236,-87.769615453,POINT (-87.7696154528 41.7925923603),,,
94cce71ab0cf4716d5f8c4d5e7ff18de44523e0a,8e61957eda2e69d68b0bce4add726e0a84827e3f1ec9c9cb0c879c9feca623f74aa26949b28af9d68c95e28c81f1c33ffb01c817e95c3be913ac6b37d76f51c9,2023-01-11T23:45:00.000,2023-01-12T00:15:00.000,2073,12.38,,,76.0,,34.25,0.0,0.0,4.0,38.25,Cash,Blue Ribbon Taxi Association,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
